POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
5960,Dalsøyra,5960 DALSØYRA,Gate-/veg-adresse,588,,1411,Gulen,Sogn og Fjordane,60.9331,5.1351,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5961,Brekke,5961 BREKKE,Gate-/veg-adresse,573,,1411,Gulen,Sogn og Fjordane,61.0187,5.4601,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5962,Bjordal,5962 BJORDAL,Gate-/veg-adresse,357,,1416,Høyanger,Sogn og Fjordane,61.0773,5.8324,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5963,DALSØYRA,5963 DALSØYRA,Postboksar,,,1411,Gulen,Sogn og Fjordane,60.93311,5.13509,6,Usikker plassering,03/10/2018 21:40
5964,BREKKE,5964 BREKKE,Postboksar,,,1411,Gulen,Sogn og Fjordane,61.01865,5.46006,6,Usikker plassering,03/10/2018 21:40
5965,BJORDAL,5965 BJORDAL,Postboksar,,,1416,Høyanger,Sogn og Fjordane,61.07733,5.83243,6,Usikker plassering,03/10/2018 21:40
5966,Eivindvik,5966 EIVINDVIK,Gate-/veg-adresse,593,,1411,Gulen,Sogn og Fjordane,60.9811,5.0737,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5967,Eivindvik,5967 EIVINDVIK,Postboksar,,,1411,Gulen,Sogn og Fjordane,60.97979,5.07796,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5970,Byrknesøy,5970 BYRKNESØY,Gate-/veg-adresse,352,,1411,Gulen,Sogn og Fjordane,60.8992,4.8378,2,Koordinatane er retta av Erik Bolstad,04/10/2018 01:02
5977,Ånneland,5977 ÅNNELAND,Gate-/veg-adresse,135,,1411,Gulen,Sogn og Fjordane,60.8893,4.9809,2,Koordinatane er retta av Erik Bolstad,04/10/2018 01:02
5978,Mjømna,5978 MJØMNA,Gate-/veg-adresse,57,,1411,Gulen,Sogn og Fjordane,60.9185,4.9044,2,Koordinatane er retta av Erik Bolstad,04/10/2018 01:02
5979,Byrknesøy,5979 BYRKNESØY,Postboksar,0,,1411,Gulen,Sogn og Fjordane,60.89857,4.83804,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5980,Hardbakke (ikkje i bruk),5980 HARDBAKKE (ikkje i bruk),Historisk,,,1412,Solund,Sogn og Fjordane,61.07327,4.84143,6,Usikker plassering,04/10/2018 02:10
5981,Masfjordnes,5981 MASFJORDNES,Gate-/veg-adresse,488,,1266,Masfjorden,Hordaland,60.8007,5.3045,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5982,Masfjordnes,5982 MASFJORDNES,Postboksar,,,1266,Masfjorden,Hordaland,60.8007,5.3045,6,Usikker plassering,11/10/2018 02:34
5983,Haugsvær,5983 HAUGSVÆR,Gate-/veg-adresse,249,,1266,Masfjorden,Hordaland,60.9019,5.5226,2,Koordinatane er retta av Erik Bolstad,11/10/2018 02:13
5984,Matredal,5984 MATREDAL,Gate-/veg-adresse,208,,1266,Masfjorden,Hordaland,60.8743,5.5826,2,Koordinatane er retta av Erik Bolstad,19/09/2013 10:14
5985,HAUGSVÆR,5985 HAUGSVÆR,Postboksar,,,1266,Masfjorden,Hordaland,60.9019,5.5226,6,Usikker plassering,03/10/2018 21:40
5986,Hosteland,5986 HOSTELAND,Gate-/veg-adresse,727,,1266,Masfjorden,Hordaland,60.8351,5.2579,2,Koordinatane er retta av Erik Bolstad,20/09/2013 00:27
5987,Hosteland,5987 HOSTELAND,Postboksar,,,1266,Masfjorden,Hordaland,60.83433,5.26191,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
